ID,Sus,Int,Res,Category
Ampicillin,<=8,16,>=32,Penicillin
Piperacillin,<=16,32-64,>=128,Penicillin
Mecilinam,<=8,16,>=32,Penicillin
Amoxicillin-clavulanate,<=8/4,16/8,>=32/16,Beta-lactam combination agents
Ampicillin-sulbactam,<=8/4,16/8,>=32/16,Beta-lactam combination agents
Ceftolozane-tazobactam,<=2/4,4/4,>=8/4,Beta-lactam combination agents
Ceftdazidim-avibactam,<=8/4,-,>=16/4,Beta-lactam combination agents
Piperacillin-tazobactam,<=16/2,32/2 - 64/2,>=128/4,Beta-lactam combination agents
Ticarcillin-clavulanate,<=16/2,32/2 - 64/2,>=128/4,Beta-lactam combination agents
Cefazolin,<=2,4,>=8,Cephems (parental)
Cefazolin (UTI),<=16,-,>=32,Cephems (parental)
Ceftaroline,<=0.5,1,>=2,Cephems (parental)
Cefepime,<=2,-,>=16,Cephems (parental)
Cefotaxime,<=1,2,>=4,Cephems (parental)
Ceftriaxone,<=1,2,>=4,Cephems (parental)
Cefotetan,<=16,32,>=64,Cephems (parental)
Cefoxitin,<=8,16,>=32,Cephems (parental)
Cefuroxime,<=8,16,>=32,Cephems (parental)
Ceftazidime,<=4,8,>=16,Cephems (parental)
Cefamandaole,<=8,16,>=32,Cephems (parental)
Cefmetazole,<=16,32,>=64,Cephems (parental)
Cefonicid,<=8,16,>=32,Cephems (parental)
Cefoperazone,<=16,32,>=64,Cephems (parental)
Ceftizoxime,<=1,2,>=4,Cephems (parental)
Moxalactam,<=8,16-32,>=64,Cephems (parental)
Cefuroxime,<=4,8-16,>=32,Cephems (oral)
Cefixime,<=1,2,>=4,Cephems (oral)
Cefpodoxime,<=2,4,>=8,Cephems (oral)
Aztreonam,<=4,8,>=16,Monobactams
Doripenem,<=1,2,>=4,Carbapenems
Ertapenem,<=0.5,1,>=2,Carbapenems
Imipenem,<=1,2,>=4,Carbapenems
Meropenem,<=1,2,>=4,Carbapenems
Gentamicin,<=4,8,>=16,Aminoglycosides
Tobramycin,<=4,8,>=16,Aminoglycosides
Amikacin,<=16,32,>=64,Aminoglycosides
Kanamycin,<=16,32,>=64,Aminoglycosides
Metilmycin,<=8,16,>=32,Aminoglycosides
Azithromycin,<=16,-,>=32,Macrolides
Tetracycline,<=4,8,>=16,Tetracyclines
Doxycycline,<=4,8,>=16,Tetracyclines
Minocycline,<=4,8,>=16,Tetracyclines
Ciprofloxacin,<=1,2,>=4,Quinolones and fluoroquinolones
Levofloxacin,<=2,4,>=8,Quinolones and fluoroquinolones
Cinoxacin,<=16,32,>=64,Quinolones and fluoroquinolones
Enoxacin,<=2,4,>=8,Quinolones and fluoroquinolones
Gatifloxacin,<=2,4,>=8,Quinolones and fluoroquinolones
Gemifloxacin,<=0.25,0.5,>=1,Quinolones and fluoroquinolones
Grepafloxacin,<=1,2,>=4,Quinolones and fluoroquinolones
Lomefloxacin,<=2,4,>=8,Quinolones and fluoroquinolones
Nalidixic acid,<=16,-,>=32,Quinolones and fluoroquinolones
Norfloxacin,<=4,8,>=16,Quinolones and fluoroquinolones
Ofloxacin,<=2,4,>=8,Quinolones and fluoroquinolones
Fleroxacin,<=2,4,>=8,Quinolones and fluoroquinolones
Trimethoprim-sulfamethoxazole,<=2/38,-,>=4/76,Folate pathway antagonists
Sulfonamides,<=256,-,>=512,Folate pathway antagonists
Trimethoprim,<=8,-,>=16,Folate pathway antagonists
Chloramphenicol,<=8,16,>=32,Phenicols
Fosfomycin,<=64,128,>=256,Fosfomycins
Nitrofurantoin,<=32,64,>=128,Nitrofurans
