ID,Sus,Int,Res,Category
Ampicillin,8,,>8,Penicillins
Ampicillin-sulbactam,8,,>8,Penicillins
Amoxicillin,8,,>8,Penicillins
Amoxicillin-clavulanic acid,8,,>8,Penicillins
Amoxicillin-clavulanic acid (uncomplicated UTI only),32,,>32,Penicillins
Piperacillin,8,,>16,Penicillins
Piperacillin-tazobactam,8,,>16,Penicillins
Ticarcillin,8,,>16,Penicillins
Ticarcillin-clavulanic acid,8,,>16,Penicillins
Mecillinam (uncomplicated UTI only),8,,>8,Penicillins
Cefadroxil (uncomplicated UTI only),16,,>16,Cephalosporins
Cefalexin (uncomplicated UTI only),16,,>16,Cephalosporins
Cefepime,1,,>4,Cephalosporins
Cefixime (uncomplicated UTI only),1,,>1,Cephalosporins
Cefotaxime,1,,>2,Cephalosporins
"Cefpodoxime 
(uncomplicated UTI only)",1,,>1,Cephalosporins
Ceftaroline,0.5,,>0.5,Cephalosporins
Ceftazidime,1,,>4,Cephalosporins
Ceftazidime-avibactam,8,,>8,Cephalosporins
Ceftibuten (UTI only),1,,>1,Cephalosporins
Ceftobiprole,0.25,,>0.25,Cephalosporins
Ceftolozane-tazobactam,1,,>1,Cephalosporins
Ceftriaxone,1,,>2,Cephalosporins
Cefuroxime,8,,>8,Cephalosporins
"Cefuroxime oral (uncomplicated UTI only), E. coli, Klebsiella spp. (except K. aerogenes), Raoultella spp. and 
P. mirabilis",8,,>8,Cephalosporins
Ertapenem,0.5,,>0.5,Carbapenems
Imipenem,2,,>4,Carbapenems
Meropenem,2,,>8,Carbapenems
Meropenem-vaborbactam,8,,>8,Carbapenems
Aztreonam,1,,>4,Monobactams
Ciprofloxacin,0.25,,>0.5,Fluoroquinolones
"Ciprofloxacin, Salmonella spp.",0.06,,>0.06,Fluoroquinolones
"Pefloxacin (screen), Salmonella spp.",NA,,NA,Fluoroquinolones
Levofloxacin,0.5,,>1,Fluoroquinolones
Moxifloxacin,0.25,,>0.25,Fluoroquinolones
Nalidixic acid (screen),NA,,NA,Fluoroquinolones
Norfloxacin (uncomplicated UTI only),0.5,,>1,Fluoroquinolones
Ofloxacin,0.25,,>0.5,Fluoroquinolones
AmikacinHE,8,,>16,Aminoglycosides
GentamicinHE,2,,>4,Aminoglycosides
NetilmicinHE,2,,>4,Aminoglycosides
TobramycinHE,2,,>4,Aminoglycosides
"Eravacycline, E. coli",0.5,,>0.5,Tetracyclines
"Tigecycline, E. coli and C. koseri",0.5,,>0.5,Tetracyclines
Chloramphenicol,8,,>8,Miscellaneous agents
Colistin,2,,>2,Miscellaneous agents
Daptomycin,-,,-,Miscellaneous agents
Fosfomycin iv,32,,>32,Miscellaneous agents
"Fosfomycin oral 
(uncomplicated UTI only)",32,,>32,Miscellaneous agents
Fusidic acid,-,,-,Miscellaneous agents
Metronidazole,-,,-,Miscellaneous agents
"Nitrofurantoin (uncomplicated UTI only), E. coli",64,,>64,Miscellaneous agents
"Nitroxoline (uncomplicated UTI only), 
E. coli",16,,>16,Miscellaneous agents
Rifampicin,-,,-,Miscellaneous agents
Spectinomycin,-,,-,Miscellaneous agents
"Trimethoprim 
(uncomplicated UTI only)",2,,>4,Miscellaneous agents
Trimethoprim-sulfamethoxazole,2,,>4,Miscellaneous agents
